sample_id,ticker,forecast_time,news_id,news_time,news_text,leakage_minutes,leakage_type
GOOGL_2025-03-12_0900,GOOGL,2025-03-12 09:00,2,2025-03-12 10:30,Google faces a new antitrust complaint over search distribution deals,90,future_news
AAPL_2025-03-13_0900,AAPL,2025-03-13 09:00,5,2025-03-13 11:15,Apple supplier warns of softer iPhone component orders for next quarter,135,future_news
GOOGL_2025-03-14_0900,GOOGL,2025-03-14 09:00,10,2025-03-14 15:00,Google reports slower YouTube ad growth in a preliminary industry survey,360,future_news
AMZN_2025-03-17_0900,AMZN,2025-03-17 09:00,15,2025-03-17 11:45,Amazon warns that international shipping costs rose faster than expected,165,future_news
META_2025-03-18_0900,META,2025-03-18 09:00,20,2025-03-18 13:20,Meta lowers revenue guidance after softer advertising demand in Europe,260,future_news
AAPL_2025-03-20_0900,AAPL,2025-03-20 09:00,25,2025-03-20 14:10,Apple faces a fresh lawsuit over App Store payment restrictions,310,future_news
GOOGL_2025-03-21_0900,GOOGL,2025-03-21 09:00,30,2025-03-21 10:20,Google is fined by a regulator for data retention practices,80,future_news
AMZN_2025-03-24_0900,AMZN,2025-03-24 09:00,35,2025-03-24 12:30,Amazon faces an FTC probe into marketplace seller ranking practices,210,future_news
META_2025-03-25_0900,META,2025-03-25 09:00,40,2025-03-25 11:55,Meta reports that a key advertiser group reduced campaign spending,175,future_news
AAPL_2025-03-27_0900,AAPL,2025-03-27 09:00,45,2025-03-27 10:40,Apple reports weaker Mac shipments in a supply chain channel check,100,future_news
GOOGL_2025-03-28_0900,GOOGL,2025-03-28 09:00,50,2025-03-28 14:30,Google warns that cloud capacity constraints may limit near term sales,330,future_news
AMZN_2025-03-31_0900,AMZN,2025-03-31 09:00,55,2025-03-31 10:10,Amazon reports a temporary outage in a major AWS region,70,future_news
META_2025-04-01_0900,META,2025-04-01 09:00,60,2025-04-01 12:45,Meta faces a new class action over youth privacy safeguards,225,future_news
AAPL_2025-04-03_0900,AAPL,2025-04-03 09:00,65,2025-04-03 13:05,Apple reduces internal forecast for Vision headset sales,245,future_news
GOOGL_2025-04-04_0900,GOOGL,2025-04-04 09:00,70,2025-04-04 10:25,Google ad buyers report budget cuts in travel and finance categories,85,future_news
AMZN_2025-04-07_0900,AMZN,2025-04-07 09:00,75,2025-04-07 12:50,Amazon faces delivery delays after severe weather disrupts a major hub,230,future_news
META_2025-04-08_0900,META,2025-04-08 09:00,80,2025-04-08 11:30,Meta warns that regulatory costs may rise in the next quarter,150,future_news
AAPL_2025-04-10_0900,AAPL,2025-04-10 09:00,85,2025-04-10 10:15,Apple is downgraded by analysts after concerns about smartphone replacement cycles,75,future_news
GOOGL_2025-04-11_0900,GOOGL,2025-04-11 09:00,90,2025-04-11 12:20,Google delays a planned cloud region because of permitting issues,200,future_news
AMZN_2025-04-14_0900,AMZN,2025-04-14 09:00,95,2025-04-14 13:40,Amazon lowers second quarter operating income outlook on wage inflation,280,future_news
META_2025-04-15_0900,META,2025-04-15 09:00,100,2025-04-15 10:50,Meta discloses weaker than expected virtual reality headset shipments,110,future_news
